
--------------------------------------------------------------
*** Drop tables ***
Dropped 6 tables.

--------------------------------------------------------------

--------------------------------------------------------------
*** Create tables ***
Created 6 tables.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Participants ***
1000 participants were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Passengers ***
700 passengers were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Drivers ***
400 drivers were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Cars ***
601 cars were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Trips ***
1698 trips were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Bookings ***
2125 bookings were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Find participants who are both passengers and drivers ***
Participant{PIN=106828, p_name='Jane Johnson', age=35}
DriverPINNameAgeRating{PIN=431432, p_name='Daniel Brown', age=30, rating=1.1}
DriverPINNameAgeRating{PIN=450150, p_name='John Williams', age=33, rating=1.9}
DriverPINNameAgeRating{PIN=452065, p_name='Emily Jones', age=67, rating=1.5}
DriverPINNameAgeRating{PIN=459405, p_name='Chris Smith', age=26, rating=2.4}
DriverPINNameAgeRating{PIN=486326, p_name='Sophia Smith', age=46, rating=3.8}
DriverPINNameAgeRating{PIN=487065, p_name='Emma Johnson', age=23, rating=1.0}
DriverPINNameAgeRating{PIN=494233, p_name='Olivia Jones', age=52, rating=2.5}
DriverPINNameAgeRating{PIN=502955, p_name='Mike Jones', age=22, rating=3.7}
DriverPINNameAgeRating{PIN=506314, p_name='Daniel Moore', age=31, rating=3.8}
DriverPINNameAgeRating{PIN=508736, p_name='Olivia Taylor', age=41, rating=1.9}
DriverPINNameAgeRating{PIN=511911, p_name='Emily Smith', age=39, rating=2.3}
DriverPINNameAgeRating{PIN=571009, p_name='Olivia Taylor', age=37, rating=3.9}
DriverPINNameAgeRating{PIN=576585, p_name='Jane Williams', age=33, rating=3.4}
DriverPINNameAgeRating{PIN=581483, p_name='Emma Taylor', age=32, rating=2.3}
DriverPINNameAgeRating{PIN=583610, p_name='David Williams', age=41, rating=4.0}
DriverPINNameAgeRating{PIN=587380, p_name='John Williams', age=34, rating=1.4}
DriverPINNameAgeRating{PIN=604226, p_name='John Williams', age=62, rating=4.4}
DriverPINNameAgeRating{PIN=605006, p_name='Olivia Wilson', age=58, rating=4.5}
DriverPINNameAgeRating{PIN=614119, p_name='Chris Johnson', age=51, rating=3.8}
DriverPINNameAgeRating{PIN=624041, p_name='Olivia Taylor', age=27, rating=4.4}
DriverPINNameAgeRating{PIN=636926, p_name='John Davis', age=58, rating=1.6}
DriverPINNameAgeRating{PIN=637119, p_name='Daniel Davis', age=64, rating=1.3}
DriverPINNameAgeRating{PIN=645443, p_name='Jane Johnson', age=41, rating=2.5}
DriverPINNameAgeRating{PIN=650940, p_name='David Moore', age=29, rating=2.6}
DriverPINNameAgeRating{PIN=670582, p_name='Chris Brown', age=48, rating=4.8}
DriverPINNameAgeRating{PIN=675352, p_name='Olivia Wilson', age=29, rating=2.5}
DriverPINNameAgeRating{PIN=683008, p_name='Olivia Jones', age=43, rating=4.8}
DriverPINNameAgeRating{PIN=689062, p_name='Olivia Smith', age=58, rating=4.6}
DriverPINNameAgeRating{PIN=703766, p_name='John Johnson', age=35, rating=2.6}
DriverPINNameAgeRating{PIN=711588, p_name='Daniel Moore', age=53, rating=1.3}
DriverPINNameAgeRating{PIN=714520, p_name='Emma Taylor', age=37, rating=5.0}
DriverPINNameAgeRating{PIN=729046, p_name='Daniel Moore', age=40, rating=3.6}
DriverPINNameAgeRating{PIN=734228, p_name='Mike Miller', age=69, rating=2.6}
DriverPINNameAgeRating{PIN=760311, p_name='Emma Moore', age=40, rating=2.6}
DriverPINNameAgeRating{PIN=777866, p_name='Daniel Taylor', age=66, rating=1.9}
DriverPINNameAgeRating{PIN=789357, p_name='Daniel Smith', age=39, rating=2.5}
DriverPINNameAgeRating{PIN=792313, p_name='Emily Williams', age=22, rating=1.8}
DriverPINNameAgeRating{PIN=793609, p_name='David Smith', age=50, rating=4.0}
DriverPINNameAgeRating{PIN=804967, p_name='Sophia Wilson', age=30, rating=1.4}
DriverPINNameAgeRating{PIN=836379, p_name='Daniel Jones', age=45, rating=4.9}
DriverPINNameAgeRating{PIN=845302, p_name='Olivia Williams', age=24, rating=1.5}
DriverPINNameAgeRating{PIN=847089, p_name='Emma Wilson', age=26, rating=2.4}
DriverPINNameAgeRating{PIN=848910, p_name='Olivia Wilson', age=34, rating=3.5}
DriverPINNameAgeRating{PIN=850804, p_name='Jane Davis', age=24, rating=3.1}
DriverPINNameAgeRating{PIN=851717, p_name='John Wilson', age=22, rating=2.4}
DriverPINNameAgeRating{PIN=865587, p_name='Emma Moore', age=36, rating=1.4}
DriverPINNameAgeRating{PIN=879306, p_name='John Jones', age=20, rating=4.3}
DriverPINNameAgeRating{PIN=881685, p_name='David Brown', age=24, rating=2.0}
DriverPINNameAgeRating{PIN=899229, p_name='Emily Miller', age=35, rating=3.1}
DriverPINNameAgeRating{PIN=899863, p_name='Mike Brown', age=68, rating=4.1}
DriverPINNameAgeRating{PIN=903965, p_name='Emma Smith', age=27, rating=4.4}
DriverPINNameAgeRating{PIN=910664, p_name='Emma Jones', age=40, rating=3.7}
DriverPINNameAgeRating{PIN=927681, p_name='Daniel Taylor', age=33, rating=4.4}
DriverPINNameAgeRating{PIN=927958, p_name='Mike Smith', age=58, rating=3.5}
DriverPINNameAgeRating{PIN=950613, p_name='Mike Williams', age=67, rating=2.8}
DriverPINNameAgeRating{PIN=954542, p_name='John Moore', age=22, rating=1.3}
DriverPINNameAgeRating{PIN=954761, p_name='Mike Smith', age=21, rating=3.1}
DriverPINNameAgeRating{PIN=956035, p_name='Sophia Miller', age=62, rating=2.7}
DriverPINNameAgeRating{PIN=960204, p_name='Sophia Moore', age=44, rating=1.8}
DriverPINNameAgeRating{PIN=965906, p_name='David Smith', age=31, rating=4.9}
DriverPINNameAgeRating{PIN=974127, p_name='Olivia Brown', age=45, rating=4.4}
DriverPINNameAgeRating{PIN=981941, p_name='Sophia Davis', age=34, rating=1.5}
DriverPINNameAgeRating{PIN=982279, p_name='David Smith', age=44, rating=4.2}
DriverPINNameAgeRating{PIN=990442, p_name='Daniel Johnson', age=43, rating=3.0}
DriverPINNameAgeRating{PIN=996597, p_name='David Smith', age=24, rating=3.8}

--------------------------------------------------------------

--------------------------------------------------------------
*** Delete Drivers with No Cars ***
105 drivers were deleted from Drivers.

--------------------------------------------------------------

--------------------------------------------------------------
*** Testing 5.5: Find the PINs, names, ages, and ratings of drivers who do not own any cars ***
No drivers without cars found.

--------------------------------------------------------------

--------------------------------------------------------------
*** Find all cars that are not taken part in any trips ***
Car{CarID=11, PIN=740161, color='White', brand='Audi'}
Car{CarID=20, PIN=612096, color='Blue', brand='Subaru'}
Car{CarID=22, PIN=650883, color='Black', brand='Nissan'}
Car{CarID=52, PIN=838323, color='White', brand='Jeep'}
Car{CarID=53, PIN=838323, color='Blue', brand='Audi'}
Car{CarID=65, PIN=896399, color='Blue', brand='Jeep'}
Car{CarID=66, PIN=896399, color='White', brand='Honda'}
Car{CarID=71, PIN=829221, color='White', brand='BMW'}
Car{CarID=79, PIN=471871, color='Green', brand='Nissan'}
Car{CarID=123, PIN=106866, color='Blue', brand='Nissan'}
Car{CarID=152, PIN=867311, color='Red', brand='Honda'}
Car{CarID=240, PIN=583515, color='Blue', brand='Mercedes-Benz'}
Car{CarID=270, PIN=218523, color='Black', brand='Mercedes-Benz'}
Car{CarID=283, PIN=553325, color='Green', brand='Chevrolet'}
Car{CarID=289, PIN=564189, color='Black', brand='Honda'}
Car{CarID=296, PIN=164932, color='Green', brand='Jeep'}
Car{CarID=300, PIN=530722, color='White', brand='Audi'}
Car{CarID=317, PIN=242981, color='Blue', brand='Toyota'}
Car{CarID=318, PIN=242981, color='Blue', brand='Subaru'}
Car{CarID=319, PIN=242981, color='Black', brand='Jeep'}
Car{CarID=358, PIN=146019, color='Red', brand='Honda'}
Car{CarID=399, PIN=557115, color='Green', brand='Toyota'}
Car{CarID=403, PIN=357141, color='Red', brand='Toyota'}
Car{CarID=416, PIN=213146, color='Red', brand='BMW'}
Car{CarID=418, PIN=154144, color='White', brand='Ford'}
Car{CarID=424, PIN=261055, color='Black', brand='Subaru'}
Car{CarID=439, PIN=566475, color='Red', brand='Honda'}
Car{CarID=551, PIN=583913, color='Black', brand='Jeep'}
Car{CarID=552, PIN=914736, color='Blue', brand='Nissan'}
Car{CarID=587, PIN=302331, color='Black', brand='Honda'}

--------------------------------------------------------------

--------------------------------------------------------------
*** Find all passengers who didn’t book any trips ***
Passenger{PIN=108782, membership_status='Bronze'}
Passenger{PIN=141424, membership_status='Silver'}
Passenger{PIN=153268, membership_status='Bronze'}
Passenger{PIN=240541, membership_status='Bronze'}
Passenger{PIN=258474, membership_status='None'}
Passenger{PIN=274563, membership_status='Silver'}
Passenger{PIN=283369, membership_status='None'}
Passenger{PIN=294687, membership_status='Bronze'}
Passenger{PIN=317532, membership_status='Bronze'}
Passenger{PIN=386808, membership_status='Silver'}
Passenger{PIN=400253, membership_status='None'}
Passenger{PIN=405487, membership_status='Bronze'}
Passenger{PIN=412383, membership_status='Gold'}
Passenger{PIN=503714, membership_status='Gold'}
Passenger{PIN=515759, membership_status='Bronze'}
Passenger{PIN=525051, membership_status='Bronze'}
Passenger{PIN=611356, membership_status='Gold'}
Passenger{PIN=624653, membership_status='Silver'}
Passenger{PIN=651491, membership_status='None'}
Passenger{PIN=737306, membership_status='Bronze'}
Passenger{PIN=805381, membership_status='None'}
Passenger{PIN=805547, membership_status='Gold'}
Passenger{PIN=867296, membership_status='Gold'}
Passenger{PIN=872825, membership_status='Bronze'}
Passenger{PIN=882042, membership_status='Bronze'}
Passenger{PIN=882635, membership_status='None'}
Passenger{PIN=894091, membership_status='Gold'}
Passenger{PIN=921396, membership_status='Silver'}
Passenger{PIN=969861, membership_status='Silver'}
Passenger{PIN=973325, membership_status='Gold'}
Passenger{PIN=973491, membership_status='None'}
Passenger{PIN=991133, membership_status='None'}

--------------------------------------------------------------

--------------------------------------------------------------
*** Find trips departing from: New York to: Chicago on: 2024-12-07 ***
Trip{TripID=1485, CarID=525, date='2024-12-07', departure='New York', destination='Chicago', num_seats_available=3}
Trip{TripID=1518, CarID=533, date='2024-12-07', departure='New York', destination='Chicago', num_seats_available=1}

--------------------------------------------------------------

--------------------------------------------------------------
*** Find passengers booked on all trips destined at Seattle ***
PassengerPINNameAgeMembershipStatus{PIN=999998, p_name='Bill Gates', age=69, membership_status='Gold'}
PassengerPINNameAgeMembershipStatus{PIN=999999, p_name='Elon Musk', age=53, membership_status='Gold'}

--------------------------------------------------------------

--------------------------------------------------------------
*** Find CarIDs owned by driver 464159 with at most 2 bookings ***
CarID: 115

--------------------------------------------------------------

--------------------------------------------------------------
*** Find average age of passengers with confirmed bookings for trips departing from city New York within the date range: 2024-12-05 to 2024-12-15 ***
Average Age: 33.200

--------------------------------------------------------------

--------------------------------------------------------------
*** Find Passengers in a Given Trip 1698 ***
PassengerPINNameAgeMembershipStatus{PIN=999996, p_name='Jake Paul', age=27, membership_status='Gold'}
PassengerPINNameAgeMembershipStatus{PIN=999997, p_name='Mike Tyson', age=58, membership_status='Gold'}

--------------------------------------------------------------

--------------------------------------------------------------
*** Find Drivers' Scores ***
DriverScoreRatingNumberOfBookingsPIN{driver_score=75.200, rating=4.7, numberOfBookings=16, DriverPIN=527054}
DriverScoreRatingNumberOfBookingsPIN{driver_score=71.400, rating=4.2, numberOfBookings=17, DriverPIN=715140}
DriverScoreRatingNumberOfBookingsPIN{driver_score=69.000, rating=4.6, numberOfBookings=15, DriverPIN=505196}
DriverScoreRatingNumberOfBookingsPIN{driver_score=67.500, rating=4.5, numberOfBookings=15, DriverPIN=183170}
DriverScoreRatingNumberOfBookingsPIN{driver_score=65.800, rating=4.7, numberOfBookings=14, DriverPIN=542577}
DriverScoreRatingNumberOfBookingsPIN{driver_score=65.600, rating=4.1, numberOfBookings=16, DriverPIN=991173}
DriverScoreRatingNumberOfBookingsPIN{driver_score=65.000, rating=2.6, numberOfBookings=25, DriverPIN=114893}
DriverScoreRatingNumberOfBookingsPIN{driver_score=63.000, rating=4.5, numberOfBookings=14, DriverPIN=288644}
DriverScoreRatingNumberOfBookingsPIN{driver_score=63.000, rating=3.5, numberOfBookings=18, DriverPIN=607121}
DriverScoreRatingNumberOfBookingsPIN{driver_score=61.600, rating=4.4, numberOfBookings=14, DriverPIN=533507}
DriverScoreRatingNumberOfBookingsPIN{driver_score=60.000, rating=4.0, numberOfBookings=15, DriverPIN=807476}
DriverScoreRatingNumberOfBookingsPIN{driver_score=59.800, rating=4.6, numberOfBookings=13, DriverPIN=569528}
DriverScoreRatingNumberOfBookingsPIN{driver_score=57.600, rating=4.8, numberOfBookings=12, DriverPIN=528384}
DriverScoreRatingNumberOfBookingsPIN{driver_score=56.000, rating=2.8, numberOfBookings=20, DriverPIN=191549}
DriverScoreRatingNumberOfBookingsPIN{driver_score=55.200, rating=4.6, numberOfBookings=12, DriverPIN=247760}
DriverScoreRatingNumberOfBookingsPIN{driver_score=55.200, rating=4.6, numberOfBookings=12, DriverPIN=339760}
DriverScoreRatingNumberOfBookingsPIN{driver_score=55.000, rating=5.0, numberOfBookings=11, DriverPIN=564189}
DriverScoreRatingNumberOfBookingsPIN{driver_score=54.600, rating=3.9, numberOfBookings=14, DriverPIN=289112}
DriverScoreRatingNumberOfBookingsPIN{driver_score=54.600, rating=4.2, numberOfBookings=13, DriverPIN=767850}
DriverScoreRatingNumberOfBookingsPIN{driver_score=53.200, rating=3.8, numberOfBookings=14, DriverPIN=220778}
DriverScoreRatingNumberOfBookingsPIN{driver_score=52.500, rating=2.5, numberOfBookings=21, DriverPIN=145785}
DriverScoreRatingNumberOfBookingsPIN{driver_score=52.000, rating=4.0, numberOfBookings=13, DriverPIN=583913}
DriverScoreRatingNumberOfBookingsPIN{driver_score=51.700, rating=4.7, numberOfBookings=11, DriverPIN=201871}
DriverScoreRatingNumberOfBookingsPIN{driver_score=49.500, rating=4.5, numberOfBookings=11, DriverPIN=608200}
DriverScoreRatingNumberOfBookingsPIN{driver_score=49.400, rating=3.8, numberOfBookings=13, DriverPIN=991087}
DriverScoreRatingNumberOfBookingsPIN{driver_score=47.000, rating=4.7, numberOfBookings=10, DriverPIN=845722}
DriverScoreRatingNumberOfBookingsPIN{driver_score=46.800, rating=3.9, numberOfBookings=12, DriverPIN=837953}
DriverScoreRatingNumberOfBookingsPIN{driver_score=46.400, rating=2.9, numberOfBookings=16, DriverPIN=532390}
DriverScoreRatingNumberOfBookingsPIN{driver_score=45.500, rating=3.5, numberOfBookings=13, DriverPIN=671232}
DriverScoreRatingNumberOfBookingsPIN{driver_score=44.000, rating=4.4, numberOfBookings=10, DriverPIN=294348}
DriverScoreRatingNumberOfBookingsPIN{driver_score=43.400, rating=3.1, numberOfBookings=14, DriverPIN=561831}
DriverScoreRatingNumberOfBookingsPIN{driver_score=43.200, rating=3.6, numberOfBookings=12, DriverPIN=399379}
DriverScoreRatingNumberOfBookingsPIN{driver_score=43.200, rating=3.6, numberOfBookings=12, DriverPIN=775938}
DriverScoreRatingNumberOfBookingsPIN{driver_score=42.900, rating=3.9, numberOfBookings=11, DriverPIN=355119}
DriverScoreRatingNumberOfBookingsPIN{driver_score=42.900, rating=3.9, numberOfBookings=11, DriverPIN=403340}
DriverScoreRatingNumberOfBookingsPIN{driver_score=42.000, rating=3.5, numberOfBookings=12, DriverPIN=428941}
DriverScoreRatingNumberOfBookingsPIN{driver_score=41.800, rating=3.8, numberOfBookings=11, DriverPIN=729783}
DriverScoreRatingNumberOfBookingsPIN{driver_score=41.000, rating=4.1, numberOfBookings=10, DriverPIN=533177}
DriverScoreRatingNumberOfBookingsPIN{driver_score=40.800, rating=2.4, numberOfBookings=17, DriverPIN=401651}
DriverScoreRatingNumberOfBookingsPIN{driver_score=40.800, rating=2.4, numberOfBookings=17, DriverPIN=814756}
DriverScoreRatingNumberOfBookingsPIN{driver_score=40.500, rating=4.5, numberOfBookings=9, DriverPIN=488597}
DriverScoreRatingNumberOfBookingsPIN{driver_score=40.000, rating=2.0, numberOfBookings=20, DriverPIN=807014}
DriverScoreRatingNumberOfBookingsPIN{driver_score=39.200, rating=4.9, numberOfBookings=8, DriverPIN=218523}
DriverScoreRatingNumberOfBookingsPIN{driver_score=39.200, rating=4.9, numberOfBookings=8, DriverPIN=992701}
DriverScoreRatingNumberOfBookingsPIN{driver_score=39.000, rating=2.6, numberOfBookings=15, DriverPIN=484503}
DriverScoreRatingNumberOfBookingsPIN{driver_score=38.700, rating=4.3, numberOfBookings=9, DriverPIN=984108}
DriverScoreRatingNumberOfBookingsPIN{driver_score=37.600, rating=4.7, numberOfBookings=8, DriverPIN=714073}
DriverScoreRatingNumberOfBookingsPIN{driver_score=36.800, rating=4.6, numberOfBookings=8, DriverPIN=523749}
DriverScoreRatingNumberOfBookingsPIN{driver_score=36.800, rating=2.3, numberOfBookings=16, DriverPIN=804097}
DriverScoreRatingNumberOfBookingsPIN{driver_score=36.300, rating=3.3, numberOfBookings=11, DriverPIN=884288}
DriverScoreRatingNumberOfBookingsPIN{driver_score=36.000, rating=4.5, numberOfBookings=8, DriverPIN=485825}
DriverScoreRatingNumberOfBookingsPIN{driver_score=36.000, rating=3.6, numberOfBookings=10, DriverPIN=658558}
DriverScoreRatingNumberOfBookingsPIN{driver_score=36.000, rating=4.5, numberOfBookings=8, DriverPIN=737377}
DriverScoreRatingNumberOfBookingsPIN{driver_score=36.000, rating=2.4, numberOfBookings=15, DriverPIN=962271}
DriverScoreRatingNumberOfBookingsPIN{driver_score=35.200, rating=4.4, numberOfBookings=8, DriverPIN=200880}
